feature,count,unique,top,freq,mean,std,min,25%,50%,75%,max
hotel,119390,2,City Hotel,79330,,,,,,,
lead_time,119390.0,,,,104.01141636652986,106.86309704798794,0.0,18.0,69.0,160.0,737.0
total_nights,119390.0,,,,3.4279001591423066,2.557438669051974,0.0,2.0,3.0,4.0,69.0
total_guests,119390.0,,,,1.9682385459418712,0.7223942426586718,0.0,2.0,2.0,2.0,55.0
booking_value,119390.0,,,,357.1198099505821,332.68545355827047,0.0,146.0,267.0,446.25,7590.0
is_family,119390.0,,,,0.07816400033503644,0.2684306109832855,0.0,0.0,0.0,0.0,1.0
has_agent,119390.0,,,,0.8631376162157635,0.34370344943388226,0.0,1.0,1.0,1.0,1.0
has_company,119390.0,,,,0.056931066253455065,0.23171182458918907,0.0,0.0,0.0,0.0,1.0
is_canceled,119390.0,,,,0.37041628277075134,0.4829182265925984,0.0,0.0,0.0,1.0,1.0
