feature,mean_abs_shap
cat__deposit_type_Non Refund,1.101145
cat__country_group_PRT,0.689782
num__total_of_special_requests,0.528258
cat__agent_group_9,0.448138
num__required_car_parking_spaces,0.354148
cat__market_segment_Online TA,0.262433
num__lead_time,0.240682
num__previous_cancellations,0.168284
cat__customer_type_Transient-Party,0.136768
num__arrival_date_year,0.12207
num__adr_clean,0.11966
cat__agent_group_240,0.119386
cat__customer_type_Transient,0.111892
num__arrival_date_week_number,0.078684
cat__country_group_DEU,0.077018
cat__deposit_type_No Deposit,0.065689
num__booking_value,0.061019
num__previous_bookings_not_canceled,0.054772
cat__special_request_level_None,0.050698
cat__agent_group_Other,0.047374
