number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_lambda,params_subsample,state
17,0.91648,2026-03-20 08:53:20.409304,2026-03-20 08:53:23.632746,0 days 00:00:03.223442,0.84691,1.96247,0.04302,7,3,387,0.72462,0.82914,COMPLETE
11,0.91535,2026-03-20 08:53:08.647546,2026-03-20 08:53:10.606717,0 days 00:00:01.959171,0.70741,1.87112,0.07303,7,3,419,0.58451,0.86756,COMPLETE
12,0.91519,2026-03-20 08:53:10.607715,2026-03-20 08:53:12.354210,0 days 00:00:01.746495,0.85268,1.3755,0.0626,7,3,422,1.47121,0.83902,COMPLETE
14,0.91516,2026-03-20 08:53:14.157045,2026-03-20 08:53:16.620163,0 days 00:00:02.463118,0.70394,1.44078,0.05445,7,4,411,1.44889,0.83842,COMPLETE
3,0.915,2026-03-20 08:52:48.448931,2026-03-20 08:52:52.428374,0 days 00:00:03.979443,0.87772,0.34105,0.02991,7,1,326,2.02542,0.85427,COMPLETE
0,0.91498,2026-03-20 08:52:37.793056,2026-03-20 08:52:39.932538,0 days 00:00:02.139482,0.74681,1.73235,0.08741,8,2,300,0.57155,0.8796,COMPLETE
16,0.91496,2026-03-20 08:53:18.288291,2026-03-20 08:53:20.408304,0 days 00:00:02.120013,0.77724,1.65557,0.06552,5,3,436,1.3849,0.88262,COMPLETE
9,0.9144,2026-03-20 08:53:03.092925,2026-03-20 08:53:04.570025,0 days 00:00:01.477100,0.93138,0.23174,0.08309,8,1,181,1.14139,0.9187,COMPLETE
4,0.91436,2026-03-20 08:52:52.429373,2026-03-20 08:52:53.714431,0 days 00:00:01.285058,0.79138,0.8803,0.13996,8,1,200,2.41659,0.94252,COMPLETE
13,0.91405,2026-03-20 08:53:12.354210,2026-03-20 08:53:14.157045,0 days 00:00:01.802835,0.83254,1.43442,0.06662,7,4,427,0.51035,0.80284,COMPLETE
1,0.91297,2026-03-20 08:52:39.932538,2026-03-20 08:52:45.085784,0 days 00:00:05.153246,0.94973,0.36681,0.02085,7,2,372,0.75997,0.99097,COMPLETE
8,0.91292,2026-03-20 08:53:00.010721,2026-03-20 08:53:03.091925,0 days 00:00:03.081204,0.72237,0.39743,0.02657,6,8,270,2.95948,0.94066,COMPLETE
2,0.91276,2026-03-20 08:52:45.086786,2026-03-20 08:52:48.448931,0 days 00:00:03.362145,0.88356,0.73272,0.04775,6,2,277,0.97975,0.78737,COMPLETE
15,0.91261,2026-03-20 08:53:16.621163,2026-03-20 08:53:18.288291,0 days 00:00:01.667128,0.91148,1.43492,0.09874,6,6,500,0.70231,0.74967,COMPLETE
6,0.91244,2026-03-20 08:52:56.317354,2026-03-20 08:52:57.974673,0 days 00:00:01.657319,0.98185,1.84375,0.14108,4,8,355,1.98093,0.93254,COMPLETE
10,0.91238,2026-03-20 08:53:04.571027,2026-03-20 08:53:08.647546,0 days 00:00:04.076519,0.86968,0.02371,0.03718,5,5,476,4.55765,0.70539,COMPLETE
5,0.90776,2026-03-20 08:52:53.714431,2026-03-20 08:52:56.316356,0 days 00:00:02.601925,0.77763,1.04014,0.02143,6,6,219,1.0249,0.9728,COMPLETE
7,0.90289,2026-03-20 08:52:57.975674,2026-03-20 08:53:00.010721,0 days 00:00:02.035047,0.8166,0.71351,0.02191,4,3,208,3.3706,0.7976,COMPLETE
