threshold,recall,precision,f1,business_gain,high_value_capture_rate
0.1,0.9841,0.5688,0.7209,1488645.4795,0.9882
0.11,0.9811,0.5759,0.7258,1490765.8069,0.9861
0.12,0.9771,0.5815,0.7291,1491742.4897,0.984
0.13,0.9721,0.5861,0.7313,1489375.7001,0.9803
0.14,0.967,0.591,0.7336,1487792.3419,0.9769
0.15,0.9625,0.5976,0.7374,1487552.8228,0.9738
0.16,0.9571,0.602,0.7391,1483291.2035,0.9691
0.17,0.9522,0.6082,0.7423,1482183.6963,0.9658
0.18,0.9481,0.6148,0.7459,1481527.2703,0.9627
0.19,0.943,0.6199,0.7481,1477990.0582,0.9584
0.2,0.9385,0.6248,0.7502,1475354.3734,0.9548
0.21,0.9331,0.6299,0.7521,1470208.967,0.9496
0.22,0.9286,0.6343,0.7538,1468673.6583,0.9469
0.23,0.9248,0.6408,0.7571,1467468.2759,0.9438
0.24,0.9211,0.6461,0.7595,1463908.1527,0.9397
0.25,0.9178,0.6501,0.7611,1462623.7746,0.9375
0.26,0.9128,0.656,0.7633,1455404.2382,0.9311
0.27,0.9093,0.661,0.7656,1454088.9682,0.9286
0.28,0.9045,0.6672,0.7679,1449438.7648,0.9237
0.29,0.901,0.6725,0.7702,1446514.8548,0.9202
0.3,0.896,0.6779,0.7718,1440140.5661,0.9146
0.31,0.8911,0.685,0.7746,1437144.6981,0.9106
0.32,0.887,0.689,0.7756,1431845.0674,0.9062
0.33,0.8812,0.6975,0.7787,1426587.9747,0.9005
0.34,0.8751,0.7056,0.7812,1421049.5722,0.8949
0.35,0.8679,0.7128,0.7827,1413448.833,0.8882
0.36,0.8625,0.7214,0.7856,1407484.0263,0.8823
0.37,0.8549,0.7283,0.7866,1397137.5673,0.8742
0.38,0.8453,0.7359,0.7868,1383785.7881,0.8641
0.39,0.8385,0.7431,0.7879,1376798.7907,0.8581
0.4,0.8273,0.7504,0.787,1361945.2159,0.8472
0.41,0.8201,0.7569,0.7873,1352263.1946,0.8398
0.42,0.8102,0.7648,0.7869,1337580.9656,0.8291
0.43,0.7981,0.7721,0.7849,1322213.7282,0.8181
0.44,0.7898,0.78,0.7849,1310785.6325,0.8095
0.45,0.7787,0.789,0.7838,1293419.2277,0.7971
0.46,0.7619,0.794,0.7776,1267859.7796,0.7805
0.47,0.7514,0.803,0.7764,1252161.4451,0.7693
0.48,0.7399,0.8089,0.7729,1230964.1415,0.7554
0.49,0.7318,0.8127,0.7701,1217588.5129,0.7466
0.5,0.7222,0.8173,0.7668,1198950.167,0.7345
0.51,0.7156,0.824,0.766,1189707.2079,0.7278
0.52,0.708,0.8269,0.7629,1177015.8625,0.7196
0.53,0.6992,0.8312,0.7595,1162984.534,0.7105
0.54,0.6893,0.8388,0.7567,1150032.5103,0.7014
0.55,0.6774,0.8443,0.7517,1130041.6286,0.6885
0.56,0.6478,0.8476,0.7344,1091133.7024,0.6642
0.57,0.6401,0.8512,0.7307,1079798.0899,0.6569
0.58,0.6352,0.8562,0.7293,1070174.8359,0.6504
0.59,0.6253,0.8585,0.7235,1050112.1979,0.638
0.6,0.6215,0.8611,0.7219,1041926.2615,0.6327
0.61,0.6184,0.864,0.7209,1034908.0852,0.6282
0.62,0.6143,0.8665,0.7189,1027672.8617,0.6235
0.63,0.6107,0.871,0.7179,1020269.965,0.6185
0.64,0.604,0.8729,0.714,1010081.8644,0.6121
0.65,0.5986,0.8783,0.712,1003140.0433,0.6073
0.66,0.5934,0.8809,0.7091,991033.1898,0.5997
0.67,0.5862,0.8835,0.7047,981560.4534,0.5937
0.68,0.5833,0.8849,0.7031,974692.3902,0.5894
0.69,0.5795,0.8884,0.7014,965560.621,0.5836
0.7,0.5753,0.8906,0.6991,958013.6262,0.5788
0.71,0.5716,0.8942,0.6974,950602.5169,0.5739
0.72,0.5671,0.8971,0.6949,942599.2363,0.5688
0.73,0.5597,0.8977,0.6895,924739.276,0.5581
0.74,0.5525,0.8994,0.6845,914529.0042,0.5517
0.75,0.5402,0.8992,0.6749,901145.6239,0.5436
0.76,0.5339,0.9025,0.6709,890974.2675,0.5372
0.77,0.5236,0.9041,0.6632,875997.8327,0.528
0.78,0.5187,0.9085,0.6604,867044.4105,0.5222
0.79,0.5112,0.909,0.6544,852592.6632,0.5135
0.8,0.502,0.9107,0.6472,839919.0413,0.5057
0.81,0.4939,0.917,0.642,822711.6388,0.4948
0.82,0.4831,0.9277,0.6353,805362.4958,0.4835
0.83,0.465,0.9348,0.6211,777567.7317,0.4663
0.84,0.4519,0.9382,0.61,749918.4282,0.4495
0.85,0.4339,0.9424,0.5942,709090.9561,0.4248
0.86,0.4176,0.95,0.5802,673575.6436,0.4031
0.87,0.3974,0.9574,0.5617,631851.784,0.3777
0.88,0.3794,0.9669,0.545,590881.7387,0.3527
0.89,0.3641,0.9726,0.5298,560870.5752,0.3345
0.9,0.3453,0.9781,0.5105,524176.3946,0.3124
